array,address_hex,address_decimal,word_hex,word_binary
DATA_ARRAY_0,0x2E,46,0x78004002,01111000000000000100000000000010
DATA_ARRAY_0,0x2F,47,0x06A27F9C,00000110101000100111111110011100
DATA_ARRAY_0,0x30,48,0x43800478,01000011100000000000010001111000
DATA_ARRAY_0,0x31,49,0x447C0005,01000100011111000000000000000101
DATA_ARRAY_0,0x32,50,0x40042280,01000000000001000010001010000000
DATA_ARRAY_0,0x33,51,0x43C7F840,01000011110001111111100001000000
DATA_ARRAY_0,0x34,52,0x87E7BC38,10000111111001111011110000111000
DATA_ARRAY_0,0x35,53,0x00000603,00000000000000000000011000000011
DATA_ARRAY_0,0x36,54,0x287805C4,00101000011110000000010111000100
DATA_ARRAY_0,0x37,55,0x00418006,00000000010000011000000000000110
DATA_ARRAY_0,0x38,56,0x7A078584,01111010000001111000010110000100
DATA_ARRAY_0,0x39,57,0x4023FA42,01000000001000111111101001000010
DATA_ARRAY_0,0x3A,58,0x7C000404,01111100000000000000010000000100
DATA_ARRAY_0,0x3B,59,0x627FD005,01100010011111111101000000000101
DATA_ARRAY_0,0x3C,60,0x80041DC4,10000000000001000001110111000100
DATA_ARRAY_0,0x3D,61,0x043FA203,00000100001111111010001000000011
DATA_ARRAY_0,0x3E,62,0x43C00566,01000011110000000000010101100110
DATA_ARRAY_0,0x3F,63,0x67C70000,01100111110001110000000000000000
DATA_ARRAY_0,0x40,64,0x78078798,01111000000001111000011110011000
DATA_ARRAY_0,0x41,65,0xA07F8678,10100000011111111000011001111000
DATA_ARRAY_0,0x42,66,0x25B002C7,00100101101100000000001011000111
DATA_ARRAY_0,0x43,67,0x27964466,00100111100101100100010001100110
DATA_ARRAY_0,0x44,68,0x65C78100,01100101110001111000000100000000
DATA_ARRAY_0,0x45,69,0xFF827504,11111111100000100111010100000100
DATA_ARRAY_0,0x46,70,0x78C3F859,01111000110000111111100001011001
DATA_ARRAY_0,0x47,71,0x85C3D21C,10000101110000111101001000011100
DATA_ARRAY_0,0x48,72,0xC4422012,11000100010000100010000000010010
DATA_ARRAY_0,0x49,73,0x0C037E3F,00001100000000110111111000111111
DATA_ARRAY_0,0x4A,74,0xA7607A7C,10100111011000000111101001111100
DATA_ARRAY_0,0x4B,75,0xDBC1F805,11011011110000011111100000000101
DATA_ARRAY_0,0x4C,76,0x84607DE3,10000100011000000111110111100011
DATA_ARRAY_0,0x4D,77,0x7D0079A7,01111101000000000111100110100111
DATA_ARRAY_0,0x4E,78,0xDDD3BC22,11011101110100111011110000100010
DATA_ARRAY_0,0x4F,79,0x3DA40503,00111101101001000000010100000011
DATA_ARRAY_0,0x50,80,0xBBFBDBDA,10111011111110111101101111011010
DATA_ARRAY_0,0x51,81,0x795EE47D,01111001010111101110010001111101
DATA_ARRAY_0,0x52,82,0x39A7DB1F,00111001101001111101101100011111
DATA_ARRAY_0,0x53,83,0x1807A27E,00011000000001111010001001111110
DATA_ARRAY_0,0x54,84,0x0026007B,00000000001001100000000001111011
DATA_ARRAY_0,0x55,85,0xE9C7A23A,11101001110001111010001000111010
DATA_ARRAY_0,0x56,86,0x3BED061D,00111011111011010000011000011101
DATA_ARRAY_0,0x57,87,0x2663DA3E,00100110011000111101101000111110
DATA_ARRAY_0,0x58,88,0xFF9DA3B8,11111111100111011010001110111000
DATA_ARRAY_0,0x59,89,0x7805C727,01111000000001011100011100100111
DATA_ARRAY_0,0x5A,90,0x861E23B9,10000110000111100010001110111001
DATA_ARRAY_0,0x5B,91,0x5A380071,01011010001110000000000001110001
DATA_ARRAY_0,0x5C,92,0xA7BE7800,10100111101111100111100000000000
DATA_ARRAY_0,0x5D,93,0xB9059B81,10111001000001011001101110000001
DATA_ARRAY_0,0x5E,94,0x5A0385DB,01011010000000111000010111011011
DATA_ARRAY_0,0x5F,95,0x238C24A6,00100011100011000010010010100110
DATA_ARRAY_0,0x60,96,0x65971062,01100101100101110001000001100010
DATA_ARRAY_0,0x61,97,0xE3F986B8,11100011111110011000011010111000
DATA_ARRAY_0,0x62,98,0xB806F987,10111000000001101111100110000111
DATA_ARRAY_0,0x63,99,0x63A6805D,01100011101001101000000001011101
DATA_ARRAY_0,0x64,100,0x8394039C,10000011100101000000001110011100
DATA_ARRAY_0,0x65,101,0xE425E07A,11100100001001011110000001111010
DATA_ARRAY_0,0x66,102,0x140383DB,00010100000000111000001111011011
DATA_ARRAY_0,0x67,103,0x4747DED6,01000111010001111101111011010110
DATA_ARRAY_0,0x68,104,0xD9A4783E,11011001101001000111100000111110
DATA_ARRAY_0,0x69,105,0x80087DBB,10000000000010000111110110111011
DATA_ARRAY_0,0x6A,106,0x39780147,00111001011110000000000101000111
DATA_ARRAY_0,0x6B,107,0x059E0267,00000101100111100000001001100111
DATA_ARRAY_0,0x6C,108,0x3E1A107D,00111110000110100001000001111101
DATA_ARRAY_0,0x6D,109,0xBDBA63BA,10111101101110100110001110111010
DATA_ARRAY_0,0x6E,110,0x015E57F3,00000001010111100101011111110011
DATA_ARRAY_0,0x6F,111,0xBD27DEDF,10111101001001111101111011011111
DATA_ARRAY_0,0x70,112,0xDD001E79,11011101000000000001111001111001
DATA_ARRAY_0,0x71,113,0x87C7A005,10000111110001111010000000000101
DATA_ARRAY_0,0x72,114,0xB0205E39,10110000001000000101111000111001
DATA_ARRAY_0,0x73,115,0xDBE80585,11011011111010000000010110000101
DATA_ARRAY_0,0x74,116,0xA65FDA3D,10100110010111111101101000111101
DATA_ARRAY_0,0x75,117,0xA13DB5BB,10100001001111011011010110111011
DATA_ARRAY_0,0x76,118,0x7845E717,01111000010001011110011100010111
DATA_ARRAY_0,0x77,119,0x8016243D,10000000000101100010010000111101
DATA_ARRAY_0,0x78,120,0x5EB802D1,01011110101110000000001011010001
DATA_ARRAY_0,0x79,121,0x98670680,10011000011001110000011010000000
DATA_ARRAY_0,0x7A,122,0xD28195B3,11010010100000011001010110110011
DATA_ARRAY_0,0x7B,123,0x84404593,10000100010000000100010110010011
DATA_ARRAY_0,0x7C,124,0x5A0A427F,01011010000010100100001001111111
DATA_ARRAY_0,0x7D,125,0x063BA221,00000110001110111010001000100001
DATA_ARRAY_0,0x7E,126,0x5FFC4680,01011111111111000100011010000000
DATA_ARRAY_0,0x7F,127,0xC0072380,11000000000001110010001110000000
DATA_ARRAY_0,0x80,128,0x00C50001,00000000110001010000000000000001
DATA_ARRAY_0,0x81,129,0x06187A44,00000110000110000111101001000100
DATA_ARRAY_0,0x82,130,0x04061258,00000100000001100001001001011000
DATA_ARRAY_0,0x83,131,0x86020004,10000110000000100000000000000100
DATA_ARRAY_0,0x84,132,0x41B83DFB,01000001101110000011110111111011
DATA_ARRAY_0,0x85,133,0x047E8004,00000100011111101000000000000100
DATA_ARRAY_0,0x86,134,0x0334787A,00000011001101000111100001111010
DATA_ARRAY_0,0x87,135,0x06000580,00000110000000000000010110000000
DATA_ARRAY_0,0x88,136,0x805C07F8,10000000010111000000011111111000
DATA_ARRAY_0,0x89,137,0x00004103,00000000000000000100000100000011
DATA_ARRAY_0,0x8A,138,0xC6784040,11000110011110000100000001000000
DATA_ARRAY_0,0x8B,139,0xB987F807,10111001100001111111100000000111
DATA_ARRAY_0,0x8C,140,0x03F80403,00000011111110000000010000000011
DATA_ARRAY_0,0x8D,141,0xF0040602,11110000000001000000011000000010
DATA_ARRAY_0,0x8E,142,0x00420781,00000000010000100000011110000001
DATA_ARRAY_0,0x8F,143,0x3847FB00,00111000010001111111101100000000
DATA_ARRAY_0,0x90,144,0x00120444,00000000000100100000010001000100
DATA_ARRAY_0,0x91,145,0x000007C0,00000000000000000000011111000000
DATA_ARRAY_0,0x92,146,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0x93,147,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0x94,148,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0x95,149,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0x96,150,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0x97,151,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0x98,152,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0x99,153,0x91999800,10010001100110011001100000000000
DATA_ARRAY_0,0x9A,154,0x00018181,00000000000000011000000110000001
DATA_ARRAY_0,0x9B,155,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0x9C,156,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0x9D,157,0x62666000,01100010011001100110000000000000
DATA_ARRAY_0,0x9E,158,0x00006060,00000000000000000110000001100000
DATA_ARRAY_0,0x9F,159,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0xA0,160,0x00000000,00000000000000000000000000000000
DATA_ARRAY_0,0xA1,161,0xF0F33800,11110000111100110011100000000000
DATA_ARRAY_0,0xA2,162,0x128BF5EC,00010010100010111111010111101100
DATA_ARRAY_0,0xA3,163,0x2741EBB6,00100111010000011110101110110110
DATA_ARRAY_0,0xA4,164,0xE92BB06D,11101001001010111011000001101101
DATA_ARRAY_0,0xA5,165,0x11EC44D4,00010001111011000100010011010100
DATA_ARRAY_0,0xA6,166,0x1EA3E4AE,00011110101000111110010010101110
DATA_ARRAY_0,0xA7,167,0xBBC52273,10111011110001010010001001110011
DATA_ARRAY_0,0xA8,168,0x71267040,01110001001001100111000001000000
DATA_ARRAY_0,0xA9,169,0x04B2C152,00000100101100101100000101010010
DATA_ARRAY_0,0xAA,170,0x2D5A4AA1,00101101010110100100101010100001
DATA_ARRAY_0,0xAB,171,0xDEE96B9C,11011110111010010110101110011100
DATA_ARRAY_0,0xAC,172,0xEA59A088,11101010010110011010000010001000
DATA_ARRAY_0,0xAD,173,0x33A3D84F,00110011101000111101100001001111
DATA_ARRAY_0,0xAE,174,0xF4C0074C,11110100110000000000011101001100
