array,address_hex,address_decimal,word_hex,word_binary
CFG_ARRAY_1,0xF0,240,0xBD38F447,10111101001110001111010001000111
CFG_ARRAY_1,0xF2,242,0xC77DA0C3,11000111011111011010000011000011
CFG_ARRAY_1,0xF4,244,0x04CC7B47,00000100110011000111101101000111
CFG_ARRAY_1,0xF6,246,0xFFF3B477,11111111111100111011010001110111
CFG_ARRAY_1,0xF8,248,0x2F00B8E4,00101111000000001011100011100100
CFG_ARRAY_1,0xFA,250,0x30C3C477,00110000110000111100010001110111
CFG_ARRAY_1,0xFC,252,0x0B47000E,00001011010001110000000000001110
CFG_ARRAY_1,0xFE,254,0x34F7CF00,00110100111101111100111100000000
CFG_ARRAY_2,0x00,0,0x7720B370,01110111001000001011001101110000
CFG_ARRAY_2,0x02,2,0xCB4070BB,11001011010000000111000010111011
CFG_ARRAY_2,0x04,4,0x44718494,01000100011100011000010010010100
CFG_ARRAY_2,0x06,6,0x0CB2E20C,00001100101100101110001000001100
CFG_ARRAY_2,0x08,8,0xFC7F30D7,11111100011111110011000011010111
CFG_ARRAY_2,0x0A,10,0xB700DF30,10110111000000001101111100110000
CFG_ARRAY_2,0x0C,12,0x8C74D00B,10001100011101001101000000001011
CFG_ARRAY_2,0x0E,14,0x50728073,01010000011100101000000001110011
CFG_ARRAY_2,0x10,16,0x7C84BC0F,01111100100001001011110000001111
CFG_ARRAY_2,0x12,18,0xC280707B,11000010100000000111000001111011
CFG_ARRAY_2,0x14,20,0xC8E8FBDA,11001000111010001111101111011010
CFG_ARRAY_2,0x16,22,0x7B348F07,01111011001101001000111100000111
CFG_ARRAY_2,0x18,24,0xF0010FB7,11110000000000010000111110110111
CFG_ARRAY_2,0x1A,26,0xE72F0028,11100111001011110000000000101000
CFG_ARRAY_2,0x1C,28,0xA0B3C04C,10100000101100111100000001001100
CFG_ARRAY_2,0x1E,30,0x47C3420F,01000111110000110100001000001111
CFG_ARRAY_2,0x20,32,0x77B74C77,01110111101101110100110001110111
CFG_ARRAY_2,0x22,34,0xE02BCAFE,11100000001010111100101011111110
CFG_ARRAY_2,0x24,36,0x37A4FBDB,00110111101001001111101111011011
CFG_ARRAY_2,0x26,38,0xBBA003CF,10111011101000000000001111001111
CFG_ARRAY_2,0x28,40,0x30F8F400,00110000111110001111010000000000
CFG_ARRAY_2,0x2A,42,0xB6040BC7,10110110000001000000101111000111
CFG_ARRAY_2,0x2C,44,0xBB7D00B0,10111011011111010000000010110000
CFG_ARRAY_2,0x2E,46,0x74CBFB47,01110100110010111111101101000111
CFG_ARRAY_2,0x30,48,0xF427B6B7,11110100001001111011011010110111
CFG_ARRAY_2,0x32,50,0xAF08BCE2,10101111000010001011110011100010
CFG_ARRAY_2,0x34,52,0x3002C487,00110000000000101100010010000111
CFG_ARRAY_2,0x36,54,0x0BD7005A,00001011110101110000000001011010
CFG_ARRAY_2,0x38,56,0x730CE0D0,01110011000011001110000011010000
CFG_ARRAY_2,0x3A,58,0x7A5032B6,01111010010100000011001010110110
CFG_ARRAY_2,0x3C,60,0xF08808B2,11110000100010000000100010110010
CFG_ARRAY_2,0x3E,62,0x2B41484F,00101011010000010100100001001111
CFG_ARRAY_2,0x40,64,0x00C77444,00000000110001110111010001000100
CFG_ARRAY_2,0x42,66,0x0BFF88D0,00001011111111111000100011010000
CFG_ARRAY_2,0x44,68,0x3800E470,00111000000000001110010001110000
CFG_ARRAY_2,0x46,70,0x8018A000,10000000000110001010000000000000
CFG_ARRAY_2,0x48,72,0x00C30F48,00000000110000110000111101001000
CFG_ARRAY_2,0x4A,74,0x8080C24B,10000000100000001100001001001011
CFG_ARRAY_2,0x4C,76,0x70C04000,01110000110000000100000000000000
CFG_ARRAY_2,0x4E,78,0x883707BF,10001000001101110000011110111111
CFG_ARRAY_2,0x50,80,0x408FD000,01000000100011111101000000000000
CFG_ARRAY_2,0x52,82,0x00668F0F,00000000011001101000111100001111
CFG_ARRAY_2,0x54,84,0x00C000B0,00000000110000000000000010110000
CFG_ARRAY_2,0x56,86,0x700B80FF,01110000000010111000000011111111
CFG_ARRAY_2,0x58,88,0x00000820,00000000000000000000100000100000
CFG_ARRAY_2,0x5A,90,0xF8CF0808,11111000110011110000100000001000
CFG_ARRAY_2,0x5C,92,0x7730FF00,01110111001100001111111100000000
CFG_ARRAY_2,0x5E,94,0x407F0080,01000000011111110000000010000000
CFG_ARRAY_2,0x60,96,0x3E0080C0,00111110000000001000000011000000
CFG_ARRAY_2,0x62,98,0x000840F0,00000000000010000100000011110000
CFG_ARRAY_2,0x64,100,0x8708FF60,10000111000010001111111101100000
CFG_ARRAY_2,0x66,102,0x00024088,00000000000000100100000010001000
CFG_ARRAY_2,0x68,104,0x000000F8,00000000000000000000000011111000
CFG_ARRAY_2,0x6A,106,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x6C,108,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x6E,110,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x70,112,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x72,114,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x74,116,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x76,118,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x78,120,0x32333300,00110010001100110011001100000000
CFG_ARRAY_2,0x7A,122,0x00003030,00000000000000000011000000110000
CFG_ARRAY_2,0x7C,124,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x7E,126,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x80,128,0x0C4CCC00,00001100010011001100110000000000
CFG_ARRAY_2,0x82,130,0x00000C0C,00000000000000000000110000001100
CFG_ARRAY_2,0x84,132,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x86,134,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x88,136,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x8A,138,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x8C,140,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x8E,142,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x90,144,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x92,146,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x94,148,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x96,150,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x98,152,0x00000000,00000000000000000000000000000000
CFG_ARRAY_2,0x9A,154,0x00000000,00000000000000000000000000000000
